Volume injected (mL), NC (-)
0.19043,0.075721
0.19058,0.075422
0.19073,0.075522
0.19088,0.07574
0.19102,0.076067
0.19117,0.075556
0.19132,0.075732
0.19147,0.0759
0.19162,0.075517
0.19177,0.075624
0.19192,0.075737
0.19207,0.075568
0.19222,0.075641
0.19236,0.075442
0.19251,0.075779
0.19266,0.075599
0.19281,0.075931
0.19296,0.075798
0.19311,0.075906
0.19326,0.075884
0.19341,0.076181
0.19356,0.075838
0.1937,0.076052
0.19385,0.076268
0.194,0.076438
0.19415,0.075763
0.1943,0.076355
0.19445,0.075843
0.1946,0.075814
0.19475,0.07594
0.1949,0.076275
0.19504,0.076333
0.19519,0.076367
0.19534,0.075785
0.19549,0.076088
0.19564,0.075848
0.19579,0.075815
0.19594,0.075475
0.19609,0.075852
0.19624,0.075927
0.19638,0.075977
0.19653,0.075569
0.19668,0.076153
0.19683,0.076237
0.19698,0.076285
0.19713,0.075978
0.19728,0.076295
0.19743,0.07619
0.19758,0.076079
0.19772,0.075931
0.19787,0.076228
0.19802,0.076127
0.19817,0.076284
0.19832,0.076144
0.19847,0.076552
0.19862,0.076442
0.19877,0.076362
0.19892,0.076172
0.19906,0.076518
0.19921,0.076454
0.19936,0.076465
0.19951,0.076213
0.19966,0.076449
0.19981,0.076371
0.19996,0.07631
0.20011,0.076175
0.20026,0.076628
0.2004,0.076359
0.20055,0.076652
0.2007,0.076388
0.20085,0.076424
0.201,0.076618
0.20115,0.076608
0.2013,0.076246
0.20145,0.07661
0.2016,0.07618
0.20174,0.076513
0.20189,0.07613
0.20204,0.076131
0.20219,0.076416
0.20234,0.076507
0.20249,0.076218
0.20264,0.076403
0.20279,0.076564
0.20294,0.076554
0.20308,0.076205
0.20323,0.076255
0.20338,0.07659
0.20353,0.076502
0.20368,0.076538
0.20383,0.076656
0.20398,0.076613
0.20413,0.076835
0.20428,0.076634
0.20442,0.076476
0.20457,0.076591
0.20472,0.076905
0.20487,0.076439
0.20502,0.076672
0.20517,0.076758
0.20532,0.07691
0.20547,0.076961
0.20562,0.076758
0.20576,0.076944
0.20591,0.077133
0.20606,0.076518
0.20621,0.076845
